FiscalYear,School Entity ID,SchoolName,subject_norm,Number Tested,Percent Passing
2022,5067,,ELA,*,25
2022,5067,,Math,*,17
2022,5068,,ELA,*,66
2022,5068,,Math,*,52
2022,5069,,ELA,*,70
2022,5069,,Math,*,58
2022,5070,,ELA,*,79
2022,5070,,Math,*,69
2022,91286,,ELA,*,70
2022,91286,,Math,*,58
2022,89941,,ELA,*,4
2022,89941,,Math,*,*
2022,79092,,ELA,*,7
2022,79092,,Math,*,11
2022,92044,,ELA,*,*
2022,92044,,Math,*,*
2022,5549,,ELA,*,78
2022,5549,,Math,*,70
2022,5444,,ELA,*,15
2022,5444,,Math,*,17
2022,5445,,ELA,*,41
2022,5445,,Math,*,34
2022,5446,,ELA,*,32
2022,5446,,Math,*,20
2022,5447,,ELA,*,62
2022,5447,,Math,*,53
2022,5448,,ELA,*,37
2022,5448,,Math,*,31
2022,5449,,ELA,*,67
2022,5449,,Math,*,62
2022,87990,,ELA,*,43
2022,87990,,Math,*,30
2022,91825,,ELA,155,52
2022,91825,,Math,155,41
2022,1000047,,ELA,*,*
2022,1000047,,Math,*,*
2022,5452,,ELA,*,19
2022,5452,,Math,*,17
2022,5453,,ELA,*,27
2022,5453,,Math,*,20
2022,80051,,ELA,*,18
2022,80051,,Math,*,17
2022,85810,,ELA,*,12
2022,85810,,Math,*,10
2022,89908,,ELA,*,12
2022,89908,,Math,*,12
2022,90085,,ELA,*,31
2022,90085,,Math,*,25
2022,90551,,ELA,*,95
2022,90551,,Math,*,85
2022,91156,,ELA,92,62
2022,91156,,Math,*,63
2022,79958,,ELA,*,63
2022,79958,,Math,*,50
2022,1000304,,ELA,*,63
2022,1000304,,Math,*,50
2022,80994,,ELA,*,75
2022,80994,,Math,*,78
2022,80385,,ELA,*,*
2022,80385,,Math,*,*
2022,92619,,ELA,*,23
2022,92619,,Math,*,19
2022,4987,,ELA,*,34
2022,4987,,Math,*,32
2022,91264,,ELA,*,26
2022,91264,,Math,*,26
2022,85541,,ELA,*,29
2022,85541,,Math,*,9
2022,5567,,ELA,*,37
2022,5567,,Math,*,32
2022,5592,,ELA,*,22
2022,5592,,Math,*,16
2022,5593,,ELA,*,14
2022,5593,,Math,*,13
2022,90858,,ELA,*,*
2022,90858,,Math,*,3
2022,79373,,ELA,*,43
2022,79373,,Math,*,35
2022,5595,,ELA,*,20
2022,5595,,Math,*,12
2022,91772,,ELA,*,34
2022,91772,,Math,*,32
2022,1001750,,ELA,*,17
2022,1001750,,Math,*,10
2022,5565,,ELA,*,35
2022,5565,,Math,*,30
2022,85839,,ELA,*,15
2022,85839,,Math,*,6
2022,85821,,ELA,*,15
2022,85821,,Math,*,19
2022,79510,,ELA,*,42
2022,79510,,Math,*,35
2022,78857,,ELA,*,54
2022,78857,,Math,*,54
2022,5648,,ELA,*,31
2022,5648,,Math,*,30
2022,456092,,ELA,*,*
2022,456092,,Math,*,*
2022,5625,,ELA,*,40
2022,5625,,Math,*,16
2022,5610,,ELA,*,20
2022,5610,,Math,*,17
2022,5606,,ELA,*,47
2022,5606,,Math,*,33
2022,5644,,ELA,*,4
2022,5644,,Math,*,12
2022,7654,,ELA,*,*
2022,7654,,Math,*,*
2022,5613,,ELA,*,16
2022,5613,,Math,*,9
2022,5653,,ELA,*,*
2022,5653,,Math,*,*
2022,5632,,ELA,*,56
2022,5632,,Math,*,33
2022,79646,,ELA,*,*
2022,79646,,Math,*,*
2022,91203,,ELA,*,7
2022,91203,,Math,*,6
2022,5618,,ELA,*,53
2022,5618,,Math,*,50
2022,5637,,ELA,*,4
2022,5637,,Math,*,2
2022,5604,,ELA,*,19
2022,5604,,Math,*,16
2022,78898,,ELA,*,50
2022,78898,,Math,*,41
2022,5891,,ELA,*,44
2022,5891,,Math,*,33
2022,6292,,ELA,*,7
2022,6292,,Math,*,*
2022,80996,,ELA,*,11
2022,80996,,Math,*,11
2022,5808,,ELA,*,55
2022,5808,,Math,*,54
2022,6055,,ELA,*,13
2022,6055,,Math,*,16
2022,79378,,ELA,*,54
2022,79378,,Math,*,46
2022,91755,,ELA,*,39
2022,91755,,Math,*,12
2022,78941,,ELA,*,*
2022,78941,,Math,*,*
2022,91766,,ELA,*,98
2022,91766,,Math,*,98
2022,5847,,ELA,*,*
2022,5847,,Math,*,*
2022,89872,,ELA,*,29
2022,89872,,Math,*,27
2022,85451,,ELA,*,41
2022,85451,,Math,*,12
2022,87412,,ELA,*,9
2022,87412,,Math,*,*
2022,80033,,ELA,*,3
2022,80033,,Math,*,6
2022,81030,,ELA,*,5
2022,81030,,Math,*,5
2022,605648,,ELA,*,24
2022,605648,,Math,*,23
2022,5839,,ELA,*,71
2022,5839,,Math,*,58
2022,79468,,ELA,*,13
2022,79468,,Math,*,5
2022,79127,,ELA,*,59
2022,79127,,Math,*,54
2022,1001746,,ELA,*,60
2022,1001746,,Math,*,20
2022,80974,,ELA,*,16
2022,80974,,Math,*,5
2022,90285,,ELA,*,65
2022,90285,,Math,*,24
2022,79442,,ELA,*,14
2022,79442,,Math,*,7
2022,78836,,ELA,*,3
2022,78836,,Math,*,2
2022,5860,,ELA,*,13
2022,5860,,Math,*,12
2022,80928,,ELA,*,20
2022,80928,,Math,*,*
2022,5791,,ELA,*,42
2022,5791,,Math,*,34
2022,6054,,ELA,*,11
2022,6054,,Math,*,*
2022,91832,,ELA,*,12
2022,91832,,Math,*,7
2022,5872,,ELA,*,*
2022,5872,,Math,*,*
2022,91782,,ELA,*,40
2022,91782,,Math,*,10
2022,6350,,ELA,*,*
2022,6350,,Math,*,*
2022,5781,,ELA,*,36
2022,5781,,Math,*,27
2022,5782,,ELA,*,46
2022,5782,,Math,*,35
2022,6279,,ELA,*,17
2022,6279,,Math,*,10
2022,87083,,ELA,*,50
2022,87083,,Math,*,33
2022,10885,,ELA,*,22
2022,10885,,Math,*,13
2022,1001732,,ELA,*,14
2022,1001732,,Math,*,*
2022,6057,,ELA,*,7
2022,6057,,Math,*,*
2022,1001696,,ELA,*,9
2022,1001696,,Math,*,6
2022,90907,,ELA,*,3
2022,90907,,Math,*,3
2022,79960,,ELA,*,11
2022,79960,,Math,*,5
2022,90998,,ELA,*,*
2022,90998,,Math,*,*
2022,5873,,ELA,*,4
2022,5873,,Math,*,*
2022,5876,,ELA,*,*
2022,5876,,Math,*,*
2022,5877,,ELA,*,*
2022,5877,,Math,*,4
2022,5878,,ELA,*,*
2022,5878,,Math,*,3
2022,5879,,ELA,*,*
2022,5879,,Math,*,*
2022,5880,,ELA,*,*
2022,5880,,Math,*,*
2022,79705,,ELA,*,41
2022,79705,,Math,213,22
2022,91830,,ELA,*,22
2022,91830,,Math,*,8
2022,5865,,ELA,*,86
2022,5865,,Math,*,50
2022,5843,,ELA,*,32
2022,5843,,Math,*,22
2022,90824,,ELA,*,41
2022,90824,,Math,*,39
2022,1001695,,ELA,*,31
2022,1001695,,Math,*,7
2022,79028,,ELA,*,38
2022,79028,,Math,*,*
2022,92518,,ELA,*,*
2022,92518,,Math,*,*
2022,79091,,ELA,*,*
2022,79091,,Math,*,*
2022,92497,,ELA,*,*
2022,92497,,Math,*,*
2022,5826,,ELA,*,20
2022,5826,,Math,*,14
2022,5827,,ELA,*,17
2022,5827,,Math,*,10
2022,6288,,ELA,*,*
2022,6288,,Math,*,*
2022,91829,,ELA,*,34
2022,91829,,Math,*,7
2022,87466,,ELA,*,61
2022,87466,,Math,*,55
2022,79980,,ELA,*,*
2022,79980,,Math,*,50
2022,84297,,ELA,*,*
2022,84297,,Math,*,*
2022,90044,,ELA,*,50
2022,90044,,Math,*,*
2022,90045,,ELA,*,34
2022,90045,,Math,*,13
2022,5892,,ELA,*,*
2022,5892,,Math,*,*
2022,5756,,ELA,*,5
2022,5756,,Math,*,10
2022,5757,,ELA,*,14
2022,5757,,Math,*,11
2022,5758,,ELA,*,30
2022,5758,,Math,*,20
2022,5759,,ELA,*,16
2022,5759,,Math,*,7
2022,5760,,ELA,*,22
2022,5760,,Math,*,16
2022,5761,,ELA,*,43
2022,5761,,Math,*,36
2022,5762,,ELA,*,23
2022,5762,,Math,*,19
2022,5763,,ELA,*,14
2022,5763,,Math,*,8
2022,5764,,ELA,*,30
2022,5764,,Math,*,18
2022,5766,,ELA,*,98
2022,5766,,Math,*,96
2022,6264,,ELA,*,25
2022,6264,,Math,*,25
2022,6269,,ELA,*,*
2022,6269,,Math,*,*
2022,6272,,ELA,*,*
2022,6272,,Math,*,*
